LOCALIDAD,TITULO,CLASIFICAC,DIRECCION,AUTOR,FECHA_ELAB,X,Y
La Candelaria,Agustin Codazzi,Relieve,KR 8 7 26,"Zerda, Eugenio",ca. 1938,"100028,53","100012,73"
La Candelaria,Alegoria al cafe,Relieve,AC 13 9 43,"Rodriguez Corredor, Jose Domingo",ca. 1931,"100156,72","100638,74"
Santa Fe,Alegoria al trabajo y al ahorro,Relieve,CL 15 8 32,"Rodriguez Corredor, Jose Domingo",1949,"100342,72","100669,89"
La Candelaria,Alejandro Petion,E_Antropomorfa,CL 21 4A 30 ESTE,"Acuña, Luis Alberto",ca.1952,"101563,51","100722,28"
La Candelaria,Alexander von Humboldt,E_Antropomorfa,KR 8 7 26,Anonimo,1850,"100012,65","100025,57"
La Candelaria,Alfiler tayrona,E_Abstracta,CL 11 4 21,"Ramirez Villamizar, Eduardo",ca. 1994,"100506,89","100029,27"
La Candelaria,Antonio Morales,E_Antropomorfa,AV CIRCUNVALAR 20 53,"Pinto Maldonado, Luis",1969,"101624,58","100710,78"
La Candelaria,Antonio Nariño,E_Antropomorfa,AC 20 5 17 ESTE,"Montañes y Montañes, Fernando",Sin fecha,"101524,35","100649,72"
La Candelaria,Antonio Nariño,E_Antropomorfa,KR 8 7 26,"Greber, Henri Leon",ca. 1910,"100087,92","100023,78"
La Candelaria,Arbol por el derecho a la vida y a la restitucion de tierras,Placa,KR 7 Y 8 - CL 8 Y 9,Jardin Botanico Jose Celestino Mutis,2011,"100081,18",99979
La Candelaria,Arqueria,Estructura arquitectonica,KR 2 - CL 12B,"Barrera Herrera, Alvaro",1986,"100875,6259","100121,9909"
Santa Fe,Aspas,E_Geometrica,CL 24 6 00,"Castles Gil, John",ca.1976,"100928,4623","101536,6398"
Santa Fe,Atanasio Girardot,E_Antropomorfa,CL 2A 1A 20,"Cano, Francisco Antonio",1926,"100240,1598","99002,07733"
Santa Fe,Terminacion construccion de la Iglesia Nuestra Señora de las Angustias,Placa,KR 13A 23 23,Anonimo,1918,"100397,56","101652,36"
La Candelaria,Bartolome Lobo Guerrero,E_Antropomorfa,KR 7 9 96,"RodrAguez del Villar, Antonio",1926,"100174,8917","100057,1518"
Santa Fe,Bases de la riqueza colombiana: agricultura y ganaderia,Relieve,KR 7 14 78,"Consorti, Vico",ca. 1958,"100486,1362","100584,8305"
Santa Fe,Bases de la riqueza colombiana: industria e ingenieria,Relieve,KR 7 14 78,"Consorti, Vico",ca. 1958,"100501,2413","100611,6434"
La Candelaria,Batalla de Ayacucho,Conjunto escultorico,KR 7 56,"Gonzalez Pola, Julio",1926,"100091,5","99844,85"
Santa Fe,Bocadillo de fe,E_Antropomorfa,TV 2A 1F 01,Familia Rojas,1986,"100239,338","98835,50305"
Santa Fe,Bogota 900 años,Mural,CL 19 8 48,"Mejia Villa, Yairo",ca. 1980,"100548,4","101106,72"
La Candelaria,Bosque cultural,E_Fitomorfa,CL 11 4 98,"Salcedo, Bernardo",1995,"100450,89","100107,77"
Santa Fe,Buzon de consignacion,Buzón,KR 10 20 30,Cuellar Serrano Gomez,ca. 1955,"100506,2203","101308,6756"
La Candelaria,Buzon de correo Avenida Jimenez,Buzón exento,AC 13 - KR 7,No aplica,ca. 1961,"100460,73","100562,46"
La Candelaria,Buzon de consignacion Banco Popular,Buzón,KR 8 11 73,No aplica,ca. 1952,"100181,6405","100354,8656"
Santa Fe,Buzon de consignacion Banco HSBC,Buzón,KR 8 15 46,No aplica,ca. 1955,"100400,06","100704,58"
Santa Fe,Buzon de correo carrera 7 con calle 24,Buzón exento,KR 7 - CL 24,No aplica,ca. 1961,"100802,15","101513,06"
La Candelaria,Buzon de consignacion Registraduria,Buzón,CL 12C 8 22,No aplica,ca. 1950,"100288,9252","100604,3424"
La Candelaria,Buzon de consignacion Banco Bancamia,Buzón,CL 12B 8 43,No aplica,ca. 1940,"100220,04","100500,43"
La Candelaria,Buzon de consignacion Bancolombia,Buzón,KR 8 12B 31,No aplica,Sin fecha,"100273,79","100515,38"
Santa Fe,Campana de la Iglesia de la Veracruz,Campana,KR 7 15 83,No aplica,1910,"100509,9923","100691,3754"
La Candelaria,Campanas de la Iglesia de San Juan de Dios,Campana,CL 12 9 89,No aplica,Campana norte:1781; campana oriental: 1820; campana occidental:,"100028,701","100487,1211"
La Candelaria,Campanas de la Iglesia de Nuestra Señora de La Candelaria,Campana,KR 4 11 62,No aplica,1887,"100552,95","100042,56"
La Candelaria,Campanas de la Iglesia de San Agustin,Campana,KR 7 7 13,No aplica,Campana oriental: 1760; campana sur: 1761; campana occidental:1882; Campana norte: 20 de julio de 1899,"99988,37015","99783,4095"
La Candelaria,Campanas del Museo Iglesia Santa Clara,Campana,KR 8 8 91,No aplica,Campana 1: 1796; campana 2: 1795; campana 3: 1791; campana 4: 1841,"100026,48","100088,86"
La Candelaria,Camilo Torres y Tenorio,E_Antropomorfa,KR 7 9 96,"Benitez Bolaños, Gerardo",1960,"100197,7138","100093,7081"
Santa Fe,Camilo Torres,E_Antropomorfa,KR 13 14 69,"Verlet, Raoul Charles",1910,"99930,33416","100897,5375"
La Candelaria,Campanas de la Catedral Primada de Colombia,Campana,KR 7 10 76,No aplica,Campana 1: 1763; campana 3: 1788; campana 5: 1916; campana 7: 1616,"100247,1154","100211,8732"
La Candelaria,Campanas de la Iglesia de Santa Barbara,Campana,CL 6B 6 95,No aplica,Campana superior: 1950,"99868,6","99544,07"
La Candelaria,Campanas de la Iglesia de Nuestra Señora de Belen,Campana,KR 3 5 95,No aplica,1925,"100335,6","99551,08"
Santa Fe,Campanas de la Iglesia de la Veracruz,Campana,KR 7 15 83,No aplica,Sin fecha,"100509,9923","100691,3754"
Santa Fe,Campanas de la Iglesia de La Capuchina,Campana,KR 13 14 29,No aplica,1931,"99901,73331","100878,6963"
Santa Fe,Campanas de la Iglesia de La Tercera,Campana,KR 7 16 07,No aplica,Campana norte: 1873; campana oriental: 1913,"100519,1","100719,77"
La Candelaria,Campanas de la Iglesia de Nuestra Señora de la Aguas,Campana,KR 3 18A 64,No aplica,Campana 4: 1914,"101184,978","100666,2052"
La Candelaria,Campanas de la Capilla del Sagrario,Campana,KR 7 10 76,No aplica,Campana 1: 1928; campana 2: 1881; campana 3: 1883; campana 4: 1680,"100220,7481","100168,2376"
Santa Fe,Campanas de la Iglesia de San Francisco,Campana,CL 26 7 30,No aplica,Campanas 2 y 5: 1797; campana 3: 1801;,"100475,3948","100608,0456"
La Candelaria,Campanas Iglesia de San Ignacio de Loyola,Campana,CL 10 6 47,No aplica,Campana 1: 1912; campana 2: 1686,"100225,4691","100085,4662"
Los Martires,Campanas de la Basilica Menor del Voto Nacional,Campana,KR 15 10 59,No aplica,1961,"99488,12791","100654,0479"
Santa Fe,Carlos Lleras Restrepo,E_Antropomorfa,AC 13 - KR 8,"Merizalde Price, Julia",2008,"100395,64","100639,33"
La Candelaria,Conmemoracion del Primer Centenario de la Independencia de Colombia,Placa,CL 10 - KR 7 Y KR 8,Comision Nacional del Centenario de la Independencia,1910,"100094,8","100167,71"
Santa Fe,Columna,E_Geometrica,CL 24 6 00,"Hoyos, Ana Mercedes",ca. 1976,"100928,1281","101536,5634"
La Candelaria,Conmemoracion de la construccion del Teatro Colon y los escenarios artisticos anteriores,Placa,CL 10 5 58,Instituto Colombiano de Cultura,1991,"100331,198","100039,4084"
La Candelaria,Conmemoracion del lugar de nacimiento de Rafael Pombo,Placa,CL 10 5 22,Academia Colombiana de la Lengua,1933,"100369,29","100017,38"
La Candelaria,Agradecimiento de los exalumnos del Colegio Nuestra Señora de la Presentacion,Placa,CL 10 5 89,Exalumnos del Colegio Nuestra Señora de la Presentacion Centro,1952,"100294,5326","100053,5489"
La Candelaria,Conmemoracion Conspiracion Septembrina,Placa,CL 10 5 89,"Tobar, Miguel",1828,"100313,75","100040,85"
La Candelaria,Jose Maria Cordoba,E_Antropomorfa,AC 20 5 17 ESTE,"Montoya, Octavio",Sin fecha,"101531,1","100646,54"
Santa Fe,Cruz,E_Geometrica,KR 2 ESTE 21 48,Arzobispado de Bogota,1998,"101826,9","100770,37"
Santa Fe,Cundinamarrum,Mural,AC 19 9 23,"Rayo, Omar",1989,"100456,13","101106,71"
La Candelaria,El dia y la noche,E_Adosadas,CL 9 9 27,"Otalora, Felix Maria",ca. 1926,"99903,64","100164,14"
La Candelaria,Declaracion de los derechos del hombre y el ciudadano,Placa,CL 10 - KR 6 Y KR 7,"Posada Diaz, Jaime",ca. 1967,"100250,91","100115,99"
Santa Fe,De signos vitales,E_Fitomorfa,KR 14 - CL 6,"Sanint Bernadas, Catalina",2001,"99418,40425","100107,735"
